INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2003.docx | 2018-04-07 13:54:59,529
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2003.docx | 2018-04-07 13:55:05,087
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2005.docx | 2018-04-07 13:55:05,087
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2005.docx | 2018-04-07 13:55:12,678
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2006.docx | 2018-04-07 13:55:12,678
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2006.docx | 2018-04-07 13:55:41,613
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2007.docx | 2018-04-07 13:55:41,613
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2007.docx | 2018-04-07 13:56:07,215
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2010.docx | 2018-04-07 13:56:07,215
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2010.docx | 2018-04-07 13:56:09,669
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2011.docx | 2018-04-07 13:56:09,669
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2011.docx | 2018-04-07 13:56:12,779
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2012.docx | 2018-04-07 13:56:12,779
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2012.docx | 2018-04-07 13:56:16,631
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2013.docx | 2018-04-07 13:56:16,631
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2013.docx | 2018-04-07 13:56:20,243
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2014.docx | 2018-04-07 13:56:20,243
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2014.docx | 2018-04-07 13:56:24,213
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2015.docx | 2018-04-07 13:56:24,213
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2015.docx | 2018-04-07 13:56:27,013
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2016.docx | 2018-04-07 13:56:27,013
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2016.docx | 2018-04-07 13:56:30,000
INFO | project.documents.doc_extractor | begin processing 18 new annual report(s) | 2018-04-07 14:05:40,615
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1994.docx | 2018-04-07 14:05:40,615
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1994.docx | 2018-04-07 14:05:43,464
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1995.docx | 2018-04-07 14:05:43,464
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1995.docx | 2018-04-07 14:05:45,497
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1996.docx | 2018-04-07 14:05:45,497
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1996.docx | 2018-04-07 14:05:49,839
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1997.docx | 2018-04-07 14:05:49,839
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1997.docx | 2018-04-07 14:05:50,979
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_1998.docx | 2018-04-07 14:05:50,995
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_1998.docx | 2018-04-07 14:05:51,870
INFO | project.documents.doc_extractor | start processing: southwest-airlines-co_annual_report_2001.docx | 2018-04-07 14:05:51,870
INFO | project.documents.doc_extractor | complete processing: southwest-airlines-co_annual_report_2001.docx | 2018-04-07 14:05:57,964
